"office","average_rate_day"
"BAC",400
"BEH",389.807692307692
"CDA",375
"COA/GO",375
"DCGNMC",400.751879699248
"DILG/GO",387.5
"GAD",375
"GENRO",368.157894736842
"GHIP",408.333333333333
"GO",377.5
"GO/GPPO",378
"GO/ICT",420
"GO/Taskforce",375
"HRMDS",382.5
"LTO",375
"Legal",405
"NVHS",375
"PAcctgO",420.454545454545
"PAdminO",396.428571428571
"PAssO",375
"PBO",375
"PCA",375
"PDRRMC",380.632911392405
"PEDO",468.333333333333
"PEO",445.454545454545
"PGSO",397.1
"PHO",393.75
"POAS",377.564102564103
"PPDO",425
"PPO",345
"PSWDO",432.083333333333
"PTEDC",450
"PTreasurer",375
"PVSO",375
"TASKFORCE",345
